Fruit_Type,Supplier_Region,Packaging_Type,Customer_Type,Shipping_Method,Payment_Method,Quality_Grade,Quantity_KG,Unit_Price,Total_Revenue,Order_Date,Delivery_Date
Coconut,Mindanao,Vacuum Pack,Distributor,Air Freight,Cash,Grade B,154.46,145.09,124982.06,2024-05-23,2024-06-05
Papaya,Visayas,Vacuum Pack,Distributor,Pickup,Credit Card,Grade A,210.12,430.58,92051.11,2025-09-20,2025-09-30
Coconut,Visayas,Vacuum Pack,Distributor,Sea Cargo,Cash,Grade A,170.59,245.4,158939.15,2025-11-27,2025-12-07
Papaya,Visayas,Box,Retail,Air Freight,Cash,Grade B,250.13,371.24,29423.97,2024-06-06,2024-06-18
Papaya,Visayas,Jar,Retail,Air Freight,Cash,Grade B,299.4,316.99,159043.36,2024-03-30,2024-04-02
Banana,Visayas,Jar,Retail,Sea Cargo,GCash,Premium,221.33,165.82,67214.94,2025-01-29,2025-01-30
Mango,Luzon,Jar,Distributor,Pickup,Bank Transfer,Grade B,402.2,239.17,189402.24,2025-05-19,2025-05-22
Jackfruit,Mindanao,Resealable Bag,Online,Air Freight,GCash,Grade B,53.05,250.58,169906.54,2025-10-02,2025-10-10
Guava,Visayas,Jar,Distributor,Pickup,GCash,Grade B,194.3,432.6,48161.78,2025-01-24,2025-02-06
Papaya,Visayas,Box,Online,Sea Cargo,Bank Transfer,Grade B,176.14,379.34,79352.95,2024-11-17,2024-11-20
Jackfruit,Mindanao,Resealable Bag,Retail,Pickup,GCash,Grade B,408.96,394.32,23140.15,2025-07-31,2025-08-04
Papaya,Luzon,Box,Wholesale,Courier,GCash,Premium,240.41,244.41,95322.68,2025-02-22,2025-03-05
Jackfruit,Visayas,Jar,Retail,Courier,Cash,Grade A,396.03,337.01,77451.68,2025-09-04,2025-09-12
Mango,Mindanao,Jar,Distributor,Pickup,Cash,Grade A,94.37,193.26,151902.08,2025-10-24,2025-11-03
Coconut,Mindanao,Resealable Bag,Online,Courier,Credit Card,Grade B,397.55,314.23,105088.5,2025-07-25,2025-08-04
Papaya,Luzon,Box,Online,Air Freight,Cash,Premium,113.75,222.92,96513.2,2024-12-19,2024-12-20
Papaya,Visayas,Jar,Retail,Pickup,Credit Card,Grade B,80.23,134.75,145048.01,2024-07-30,2024-08-08
Banana,Mindanao,Vacuum Pack,Wholesale,Sea Cargo,GCash,Premium,122.06,304.75,192107.9,2024-01-24,2024-02-07
Papaya,Mindanao,Resealable Bag,Wholesale,Pickup,Credit Card,Grade A,381.82,411.42,95419.25,2024-08-25,2024-09-07
Mango,Mindanao,Resealable Bag,Wholesale,Courier,Cash,Premium,95.79,407.75,45522.37,2025-03-15,2025-03-22
Papaya,Luzon,Box,Online,Courier,Credit Card,Premium,226.64,157.7,76877.14,2024-11-29,2024-12-03
Pineapple,Mindanao,Box,Retail,Sea Cargo,Bank Transfer,Grade A,157.36,158.59,80928.15,2025-04-13,2025-04-23
Papaya,Visayas,Resealable Bag,Online,Pickup,GCash,Grade B,335.98,348.83,132599.42,2024-05-24,2024-06-02
Pineapple,Visayas,Box,Wholesale,Sea Cargo,Bank Transfer,Grade B,328.73,405.62,190849.97,2024-06-26,2024-07-05
Pineapple,Visayas,Jar,Online,Pickup,Credit Card,Premium,427.95,281.27,25707.42,2025-05-11,2025-05-14
Guava,Luzon,Box,Retail,Courier,GCash,Premium,179.9,377.64,117473.59,2024-02-01,2024-02-14
Jackfruit,Luzon,Vacuum Pack,Distributor,Courier,Cash,Premium,248.61,192.12,90779.39,2025-05-22,2025-05-31
Pineapple,Visayas,Vacuum Pack,Online,Courier,Bank Transfer,Grade A,247.58,448.01,157370.01,2025-10-31,2025-11-13
Guava,Mindanao,Box,Online,Sea Cargo,GCash,Grade A,416.09,385.8,118314.13,2024-08-30,2024-09-03
Jackfruit,Mindanao,Resealable Bag,Distributor,Courier,Bank Transfer,Premium,170.3,403.15,197242.78,2025-06-29,2025-07-04
Mango,Luzon,Jar,Retail,Courier,GCash,Premium,439.74,202.39,145165.02,2025-11-26,2025-12-10
Guava,Mindanao,Jar,Online,Sea Cargo,Bank Transfer,Premium,236.4,269.16,130389.28,2024-09-10,2024-09-23
Jackfruit,Mindanao,Box,Distributor,Pickup,Credit Card,Grade B,311.88,406.74,170961.79,2024-04-05,2024-04-12
Papaya,Mindanao,Box,Retail,Pickup,GCash,Grade B,421.18,283.26,71344.38,2024-04-05,2024-04-17
Jackfruit,Mindanao,Resealable Bag,Online,Courier,Cash,Grade A,94.81,378.68,97320.53,2024-10-17,2024-10-23
Pineapple,Visayas,Jar,Retail,Pickup,GCash,Premium,459.23,411.11,67354.45,2024-05-07,2024-05-21
Coconut,Visayas,Box,Retail,Courier,GCash,Grade A,228.35,220.82,142893.86,2024-10-07,2024-10-09
Coconut,Luzon,Vacuum Pack,Retail,Sea Cargo,Credit Card,Grade A,109.71,194.64,139196.72,2024-08-27,2024-09-03
Coconut,Visayas,Vacuum Pack,Online,Sea Cargo,Credit Card,Grade A,153.03,149.48,163131.8,2024-01-10,2024-01-11
Banana,Visayas,Resealable Bag,Online,Sea Cargo,GCash,Grade A,288.73,122.8,133503.84,2024-04-15,2024-04-21
Coconut,Luzon,Resealable Bag,Online,Pickup,GCash,Grade A,453.47,166.2,33399.87,2025-03-26,2025-04-01
Papaya,Visayas,Resealable Bag,Wholesale,Courier,Cash,Grade A,299.03,318.0,125442.69,2025-01-28,2025-02-03
Guava,Mindanao,Box,Wholesale,Sea Cargo,Credit Card,Grade B,340.78,378.65,160817.83,2025-12-08,2025-12-09
Papaya,Luzon,Resealable Bag,Online,Air Freight,Cash,Grade B,470.27,163.55,173554.66,2024-09-02,2024-09-10
Banana,Mindanao,Resealable Bag,Online,Air Freight,Cash,Premium,80.39,206.52,17567.1,2025-08-05,2025-08-12
Papaya,Mindanao,Box,Online,Pickup,Credit Card,Grade A,338.24,297.43,39009.28,2024-03-02,2024-03-15
Mango,Mindanao,Resealable Bag,Wholesale,Courier,Credit Card,Premium,335.43,395.39,139400.58,2024-03-26,2024-03-31
Coconut,Visayas,Resealable Bag,Retail,Sea Cargo,Cash,Grade B,102.19,322.06,20455.44,2024-03-08,2024-03-13
Coconut,Mindanao,Resealable Bag,Retail,Air Freight,GCash,Premium,55.11,283.82,75873.97,2025-11-13,2025-11-25
Guava,Mindanao,Box,Wholesale,Courier,GCash,Premium,401.51,208.69,178418.8,2025-06-13,2025-06-26
Guava,Visayas,Box,Retail,Courier,Cash,Grade B,254.84,238.84,104925.9,2024-01-31,2024-02-06
Banana,Luzon,Box,Retail,Air Freight,GCash,Premium,278.97,134.53,173956.41,2025-08-03,2025-08-06
Papaya,Visayas,Jar,Wholesale,Sea Cargo,Cash,Premium,411.4,355.63,134583.63,2024-09-07,2024-09-08
Pineapple,Visayas,Box,Distributor,Air Freight,Bank Transfer,Grade A,275.92,417.64,44075.43,2024-08-17,2024-08-23
Papaya,Luzon,Jar,Distributor,Courier,Bank Transfer,Grade A,298.89,122.63,48127.52,2025-06-12,2025-06-13
Banana,Mindanao,Resealable Bag,Online,Courier,Credit Card,Grade A,379.61,300.36,161234.97,2025-07-31,2025-08-13
Papaya,Luzon,Resealable Bag,Distributor,Air Freight,Bank Transfer,Grade A,391.52,244.17,150235.71,2024-06-03,2024-06-04
Pineapple,Mindanao,Resealable Bag,Online,Pickup,Cash,Grade A,370.24,150.7,185042.14,2024-11-10,2024-11-12
Coconut,Visayas,Jar,Retail,Air Freight,GCash,Premium,418.98,144.69,117885.94,2025-06-16,2025-06-23
Pineapple,Luzon,Box,Distributor,Courier,Credit Card,Premium,424.35,227.66,96023.99,2025-03-21,2025-04-01
Pineapple,Luzon,Vacuum Pack,Wholesale,Air Freight,GCash,Grade B,259.72,254.15,111825.66,2024-08-27,2024-08-29
Banana,Visayas,Box,Retail,Air Freight,GCash,Premium,186.9,352.55,124627.47,2024-07-31,2024-08-08
Guava,Visayas,Resealable Bag,Retail,Sea Cargo,Bank Transfer,Grade B,281.06,343.47,59431.69,2024-08-08,2024-08-22
Papaya,Visayas,Resealable Bag,Retail,Pickup,Cash,Grade A,104.65,140.35,158382.4,2024-06-27,2024-06-28
Pineapple,Visayas,Box,Retail,Courier,Cash,Grade A,498.72,185.26,132737.51,2024-08-15,2024-08-18
Guava,Visayas,Vacuum Pack,Retail,Pickup,Cash,Grade A,465.86,262.94,147641.86,2024-05-11,2024-05-13
Papaya,Mindanao,Jar,Wholesale,Courier,GCash,Grade A,173.74,267.18,38239.97,2025-05-23,2025-05-24
Jackfruit,Luzon,Box,Online,Pickup,Credit Card,Grade A,89.47,246.4,89654.62,2025-09-20,2025-09-30
Jackfruit,Luzon,Vacuum Pack,Online,Courier,Credit Card,Premium,401.65,233.53,117473.71,2025-10-20,2025-11-02
Banana,Luzon,Vacuum Pack,Distributor,Sea Cargo,Cash,Grade B,76.37,447.21,110592.14,2024-11-25,2024-12-02
Pineapple,Luzon,Resealable Bag,Wholesale,Courier,Cash,Grade A,309.06,444.28,83800.28,2025-08-21,2025-08-25
Pineapple,Mindanao,Box,Distributor,Air Freight,Bank Transfer,Premium,303.62,305.83,45764.4,2024-06-26,2024-06-29
Banana,Luzon,Jar,Retail,Air Freight,Cash,Grade A,320.75,126.58,100817.91,2025-05-19,2025-05-28
Pineapple,Luzon,Box,Wholesale,Courier,Cash,Grade A,116.47,352.55,36914.01,2024-12-05,2024-12-15
Jackfruit,Visayas,Vacuum Pack,Distributor,Pickup,Cash,Grade B,185.79,165.03,39925.74,2024-04-23,2024-05-07
Coconut,Visayas,Box,Wholesale,Courier,GCash,Premium,315.03,177.87,68296.41,2025-03-23,2025-04-05
Pineapple,Luzon,Vacuum Pack,Online,Air Freight,GCash,Premium,193.2,386.91,126162.42,2025-12-06,2025-12-11
Mango,Visayas,Resealable Bag,Distributor,Air Freight,GCash,Grade B,492.07,175.4,178210.85,2025-10-16,2025-10-26
Coconut,Mindanao,Box,Online,Air Freight,Bank Transfer,Grade A,162.29,142.37,58765.01,2024-03-31,2024-04-14
Mango,Luzon,Jar,Online,Pickup,GCash,Grade B,271.89,244.98,113744.55,2024-04-20,2024-05-02
Papaya,Mindanao,Resealable Bag,Wholesale,Pickup,Cash,Grade A,182.71,225.18,190815.8,2024-04-13,2024-04-27
Pineapple,Visayas,Resealable Bag,Retail,Air Freight,Bank Transfer,Premium,493.37,414.76,143855.88,2024-03-16,2024-03-22
Pineapple,Mindanao,Jar,Wholesale,Air Freight,Cash,Grade B,142.5,182.69,142467.37,2025-03-17,2025-03-28
Coconut,Visayas,Box,Wholesale,Air Freight,Cash,Grade B,307.3,397.15,39182.09,2025-07-07,2025-07-12
Papaya,Luzon,Box,Online,Sea Cargo,Cash,Grade A,143.13,330.6,195640.96,2025-01-04,2025-01-05
Mango,Visayas,Jar,Online,Pickup,Bank Transfer,Grade A,338.84,247.88,80493.9,2025-04-29,2025-05-13
Pineapple,Visayas,Vacuum Pack,Distributor,Pickup,Credit Card,Grade B,151.81,208.63,21711.48,2025-01-25,2025-01-31
Mango,Luzon,Box,Online,Sea Cargo,Cash,Grade B,418.28,258.15,111747.74,2025-12-14,2025-12-25
Pineapple,Visayas,Box,Retail,Pickup,Cash,Premium,307.05,290.55,118582.23,2025-05-01,2025-05-11
Mango,Visayas,Resealable Bag,Wholesale,Sea Cargo,GCash,Grade A,69.2,145.86,139793.84,2025-09-27,2025-09-30
Coconut,Luzon,Box,Distributor,Air Freight,Cash,Grade B,300.36,302.18,172758.59,2024-07-25,2024-08-08
Guava,Luzon,Jar,Retail,Pickup,GCash,Grade A,304.97,312.28,193318.02,2025-06-16,2025-06-24
Jackfruit,Luzon,Box,Distributor,Pickup,Bank Transfer,Grade B,344.65,308.77,99878.86,2024-04-12,2024-04-14
Papaya,Luzon,Jar,Retail,Pickup,Bank Transfer,Premium,156.91,366.1,184958.65,2024-06-25,2024-06-30
Banana,Visayas,Box,Distributor,Pickup,Cash,Grade A,110.47,441.49,94191.02,2025-01-16,2025-01-17
Coconut,Visayas,Vacuum Pack,Wholesale,Pickup,GCash,Grade B,383.43,370.63,174765.9,2024-11-24,2024-11-29
Guava,Luzon,Vacuum Pack,Distributor,Pickup,GCash,Premium,445.7,129.55,46625.05,2024-02-27,2024-03-07
Mango,Luzon,Vacuum Pack,Online,Air Freight,Bank Transfer,Premium,139.6,241.56,98201.51,2024-07-24,2024-08-07
Mango,Mindanao,Vacuum Pack,Wholesale,Courier,Credit Card,Premium,250.75,436.97,100170.63,2025-02-10,2025-02-21
Banana,Luzon,Box,Retail,Courier,Cash,Grade B,72.34,401.76,158167.73,2025-07-18,2025-07-24
Pineapple,Mindanao,Resealable Bag,Wholesale,Courier,Credit Card,Premium,59.02,377.5,155838.82,2024-08-07,2024-08-21
Pineapple,Mindanao,Resealable Bag,Retail,Sea Cargo,Bank Transfer,Premium,412.29,220.8,193734.64,2024-01-10,2024-01-18
Papaya,Visayas,Box,Online,Courier,GCash,Grade B,185.97,291.81,128485.16,2025-10-20,2025-10-25
Mango,Mindanao,Box,Distributor,Courier,Cash,Grade B,78.73,446.16,131713.0,2025-08-21,2025-08-23
Coconut,Mindanao,Box,Wholesale,Sea Cargo,GCash,Grade A,412.44,384.78,124006.33,2024-10-10,2024-10-15
Coconut,Luzon,Vacuum Pack,Online,Courier,Bank Transfer,Grade B,232.07,363.12,120774.5,2025-11-07,2025-11-13
Pineapple,Visayas,Resealable Bag,Online,Courier,Bank Transfer,Grade A,428.29,409.24,44415.81,2025-08-08,2025-08-22
Pineapple,Mindanao,Box,Wholesale,Courier,Cash,Grade A,209.88,365.59,68346.2,2024-04-09,2024-04-17
Banana,Mindanao,Box,Online,Air Freight,Credit Card,Grade A,439.88,312.58,189417.19,2024-12-05,2024-12-11
Pineapple,Mindanao,Vacuum Pack,Online,Courier,Credit Card,Grade A,441.88,169.76,198546.09,2024-03-13,2024-03-21
Jackfruit,Visayas,Resealable Bag,Distributor,Sea Cargo,Cash,Grade B,199.68,445.59,69548.67,2024-12-16,2024-12-23
Papaya,Visayas,Resealable Bag,Wholesale,Sea Cargo,Credit Card,Grade A,108.23,263.12,91587.85,2024-02-29,2024-03-01
Papaya,Luzon,Vacuum Pack,Wholesale,Courier,Cash,Grade B,390.58,295.24,13404.06,2025-03-15,2025-03-23
Coconut,Luzon,Resealable Bag,Distributor,Courier,GCash,Grade A,222.6,314.26,41733.84,2024-01-05,2024-01-16
Banana,Visayas,Box,Online,Sea Cargo,Bank Transfer,Grade B,211.66,182.18,190136.03,2024-02-16,2024-02-21
Pineapple,Luzon,Resealable Bag,Wholesale,Air Freight,GCash,Grade A,214.97,334.68,17099.05,2025-02-17,2025-02-18
Guava,Mindanao,Vacuum Pack,Retail,Air Freight,Cash,Grade A,360.39,257.54,82248.21,2025-10-17,2025-10-22
Papaya,Mindanao,Resealable Bag,Wholesale,Air Freight,Bank Transfer,Grade B,347.75,338.62,61295.66,2025-07-14,2025-07-19
Pineapple,Visayas,Vacuum Pack,Retail,Courier,Cash,Grade A,273.98,320.97,157812.19,2025-09-12,2025-09-24
Banana,Mindanao,Jar,Distributor,Sea Cargo,Cash,Premium,273.36,188.54,187293.63,2025-06-19,2025-06-23
Mango,Luzon,Vacuum Pack,Retail,Pickup,GCash,Grade A,400.79,144.77,147479.49,2024-12-04,2024-12-08
Pineapple,Visayas,Box,Distributor,Pickup,Cash,Grade A,415.93,408.47,171927.25,2024-09-19,2024-09-30
Coconut,Visayas,Jar,Retail,Air Freight,Cash,Grade A,433.4,338.91,42397.33,2025-01-03,2025-01-16
Jackfruit,Visayas,Vacuum Pack,Distributor,Courier,GCash,Grade A,230.35,437.56,61648.29,2025-01-01,2025-01-09
Guava,Visayas,Jar,Wholesale,Air Freight,GCash,Premium,376.89,443.92,170426.47,2025-01-29,2025-02-10
Jackfruit,Visayas,Jar,Wholesale,Pickup,Bank Transfer,Premium,62.97,345.87,169321.93,2024-04-16,2024-04-23
Papaya,Luzon,Jar,Online,Air Freight,Cash,Grade B,344.74,124.08,174983.13,2024-05-13,2024-05-21
Coconut,Mindanao,Resealable Bag,Distributor,Air Freight,Credit Card,Premium,376.99,279.04,136105.02,2025-06-21,2025-07-04
Pineapple,Mindanao,Vacuum Pack,Retail,Sea Cargo,Credit Card,Grade B,441.24,144.71,103413.11,2025-10-18,2025-10-25
Banana,Luzon,Resealable Bag,Online,Pickup,GCash,Grade A,256.59,384.42,95138.73,2024-09-03,2024-09-09
Banana,Luzon,Jar,Retail,Air Freight,Credit Card,Grade B,66.12,301.2,166922.66,2025-05-25,2025-06-02
Coconut,Visayas,Resealable Bag,Online,Courier,Bank Transfer,Grade A,417.46,398.62,73074.8,2025-09-10,2025-09-20
Papaya,Mindanao,Box,Online,Air Freight,Cash,Premium,149.79,232.65,167677.94,2025-09-26,2025-10-06
Jackfruit,Visayas,Vacuum Pack,Retail,Sea Cargo,Credit Card,Grade A,419.83,365.03,87750.04,2024-10-25,2024-11-03
Pineapple,Luzon,Vacuum Pack,Online,Sea Cargo,Credit Card,Grade A,372.55,155.56,88749.37,2024-09-17,2024-09-27
Coconut,Mindanao,Vacuum Pack,Online,Pickup,GCash,Grade B,51.95,362.95,115113.0,2025-10-10,2025-10-24
Jackfruit,Visayas,Resealable Bag,Wholesale,Sea Cargo,Cash,Grade B,345.88,320.03,71150.31,2025-03-19,2025-04-02
Jackfruit,Mindanao,Resealable Bag,Distributor,Pickup,Bank Transfer,Grade B,253.78,164.01,88421.64,2025-01-28,2025-02-04
Jackfruit,Visayas,Box,Wholesale,Sea Cargo,GCash,Premium,371.47,346.58,185026.44,2025-12-17,2025-12-29
Coconut,Luzon,Box,Retail,Courier,Credit Card,Premium,306.79,340.16,89320.81,2024-05-15,2024-05-27
Guava,Visayas,Vacuum Pack,Retail,Air Freight,Credit Card,Grade A,73.88,138.68,60725.87,2025-06-30,2025-07-05
Coconut,Visayas,Resealable Bag,Retail,Courier,GCash,Premium,64.54,388.63,29471.2,2024-06-13,2024-06-18
Jackfruit,Luzon,Jar,Wholesale,Courier,Cash,Grade B,224.4,435.71,195406.32,2025-11-22,2025-12-04
Mango,Luzon,Box,Wholesale,Pickup,GCash,Premium,367.08,333.72,153470.46,2024-11-16,2024-11-25
Jackfruit,Luzon,Resealable Bag,Distributor,Pickup,GCash,Premium,83.51,437.62,149665.1,2025-07-13,2025-07-25
Mango,Visayas,Box,Distributor,Sea Cargo,GCash,Premium,430.71,121.86,98602.95,2024-05-02,2024-05-09
Pineapple,Visayas,Vacuum Pack,Distributor,Pickup,Bank Transfer,Grade A,402.81,224.89,51792.78,2024-06-07,2024-06-08
Mango,Mindanao,Resealable Bag,Online,Pickup,Cash,Grade B,149.54,190.41,73057.87,2024-07-07,2024-07-16
Pineapple,Mindanao,Jar,Retail,Air Freight,Bank Transfer,Grade B,158.16,331.95,184535.39,2025-01-04,2025-01-09
Coconut,Visayas,Jar,Retail,Pickup,Bank Transfer,Premium,375.79,128.15,108204.89,2024-09-06,2024-09-07
Guava,Mindanao,Jar,Online,Air Freight,Bank Transfer,Premium,136.63,289.59,190160.25,2025-01-18,2025-01-27
Jackfruit,Mindanao,Vacuum Pack,Retail,Sea Cargo,GCash,Premium,240.89,154.3,112173.3,2024-06-20,2024-07-03
Guava,Visayas,Vacuum Pack,Wholesale,Air Freight,Credit Card,Premium,199.27,148.88,20310.93,2025-12-20,2026-01-01
Mango,Mindanao,Resealable Bag,Distributor,Pickup,Credit Card,Grade B,333.6,262.9,13209.28,2024-09-14,2024-09-23
Jackfruit,Luzon,Vacuum Pack,Retail,Air Freight,Bank Transfer,Premium,97.76,379.67,67256.63,2025-11-20,2025-11-22
Guava,Visayas,Jar,Online,Air Freight,Credit Card,Grade A,290.06,165.01,84288.59,2024-03-29,2024-04-03
Coconut,Luzon,Box,Distributor,Air Freight,GCash,Grade A,68.8,309.0,84875.52,2025-07-12,2025-07-17
Banana,Luzon,Box,Wholesale,Pickup,GCash,Grade A,132.8,323.57,58020.94,2025-07-14,2025-07-16
Coconut,Mindanao,Vacuum Pack,Online,Air Freight,Bank Transfer,Premium,80.31,152.41,147861.96,2024-04-27,2024-04-30
Banana,Luzon,Resealable Bag,Retail,Courier,Cash,Grade A,193.0,268.71,127105.06,2025-05-13,2025-05-19
Jackfruit,Luzon,Box,Distributor,Pickup,GCash,Grade A,190.95,379.27,145317.83,2024-11-09,2024-11-21
Banana,Visayas,Resealable Bag,Distributor,Pickup,Credit Card,Grade B,211.43,220.81,114817.65,2025-10-18,2025-10-25
Jackfruit,Luzon,Box,Wholesale,Sea Cargo,Bank Transfer,Premium,448.85,145.23,24325.99,2024-06-28,2024-07-09
Jackfruit,Mindanao,Vacuum Pack,Online,Sea Cargo,Cash,Premium,167.28,415.02,112538.65,2024-01-20,2024-02-03
Pineapple,Visayas,Jar,Wholesale,Courier,GCash,Grade B,275.51,149.88,79134.46,2025-10-31,2025-11-13
Pineapple,Mindanao,Resealable Bag,Wholesale,Pickup,GCash,Grade A,304.86,306.72,175717.08,2024-01-11,2024-01-22
Coconut,Visayas,Box,Retail,Sea Cargo,Credit Card,Grade A,78.29,241.91,18133.6,2024-05-29,2024-06-10
Guava,Visayas,Jar,Online,Pickup,Cash,Grade A,491.27,226.94,143709.89,2024-07-30,2024-08-08
Guava,Visayas,Box,Wholesale,Pickup,Credit Card,Grade B,314.46,416.41,24789.12,2025-06-17,2025-06-28
Pineapple,Mindanao,Jar,Distributor,Courier,Credit Card,Grade B,449.23,122.18,177586.51,2024-09-14,2024-09-21
Pineapple,Luzon,Box,Wholesale,Sea Cargo,GCash,Grade A,213.0,356.71,32482.74,2025-03-26,2025-03-29
Guava,Visayas,Vacuum Pack,Online,Pickup,Credit Card,Grade A,315.86,333.6,88070.85,2024-08-23,2024-08-30
Pineapple,Mindanao,Resealable Bag,Wholesale,Air Freight,GCash,Grade A,124.85,424.41,108161.73,2024-09-06,2024-09-07
Jackfruit,Mindanao,Vacuum Pack,Distributor,Air Freight,GCash,Grade B,322.94,275.57,101517.0,2025-02-19,2025-03-01
Papaya,Mindanao,Resealable Bag,Wholesale,Courier,GCash,Premium,358.52,424.38,123341.34,2024-08-12,2024-08-26
Papaya,Visayas,Resealable Bag,Retail,Air Freight,GCash,Premium,436.82,286.44,89761.05,2024-03-11,2024-03-15
Mango,Luzon,Jar,Retail,Air Freight,Cash,Grade B,346.73,417.65,112464.34,2024-06-02,2024-06-12
Coconut,Mindanao,Jar,Online,Courier,Cash,Premium,288.42,195.73,162437.04,2024-01-02,2024-01-15
Jackfruit,Mindanao,Vacuum Pack,Online,Sea Cargo,Bank Transfer,Grade B,394.64,420.33,25925.34,2025-01-25,2025-01-31
Papaya,Visayas,Resealable Bag,Retail,Air Freight,Cash,Premium,53.24,336.0,140675.68,2025-09-04,2025-09-13
Banana,Luzon,Resealable Bag,Online,Courier,Bank Transfer,Premium,240.6,240.66,62356.5,2024-11-19,2024-11-26
Guava,Luzon,Jar,Online,Sea Cargo,Bank Transfer,Premium,299.71,203.75,68264.09,2025-11-27,2025-12-04
Coconut,Visayas,Resealable Bag,Retail,Sea Cargo,Credit Card,Premium,477.16,153.09,106585.27,2024-12-18,2024-12-31
Jackfruit,Mindanao,Vacuum Pack,Wholesale,Pickup,Cash,Grade A,420.46,275.65,124046.63,2024-12-12,2024-12-25
Banana,Luzon,Box,Retail,Air Freight,Credit Card,Grade B,326.28,291.93,145205.11,2024-03-31,2024-04-02
Guava,Luzon,Jar,Online,Air Freight,GCash,Premium,468.84,290.99,47001.83,2025-09-03,2025-09-04
Jackfruit,Mindanao,Resealable Bag,Wholesale,Air Freight,Bank Transfer,Grade A,344.76,441.96,26500.13,2025-09-05,2025-09-14
Papaya,Visayas,Jar,Online,Sea Cargo,Cash,Premium,366.63,423.33,114422.6,2024-10-09,2024-10-22
Banana,Visayas,Box,Wholesale,Sea Cargo,Credit Card,Grade B,308.71,206.17,87355.58,2025-07-26,2025-08-05
Mango,Mindanao,Box,Distributor,Air Freight,Bank Transfer,Premium,415.92,309.71,141896.45,2024-04-19,2024-04-28
Papaya,Luzon,Box,Online,Pickup,Cash,Grade B,102.32,142.29,130395.74,2025-01-21,2025-01-31
Coconut,Luzon,Box,Online,Courier,Cash,Premium,424.48,201.93,27671.79,2024-08-13,2024-08-24
Guava,Visayas,Vacuum Pack,Wholesale,Pickup,Bank Transfer,Grade B,148.35,309.33,44729.05,2025-11-20,2025-12-02
Papaya,Mindanao,Resealable Bag,Wholesale,Sea Cargo,Bank Transfer,Grade A,153.14,395.53,168903.59,2025-11-30,2025-12-04
Guava,Luzon,Vacuum Pack,Retail,Pickup,Cash,Premium,481.1,399.84,80527.34,2024-12-30,2025-01-02
Jackfruit,Visayas,Jar,Wholesale,Courier,Credit Card,Grade A,387.58,162.32,109889.73,2024-11-18,2024-11-26
Jackfruit,Luzon,Box,Online,Sea Cargo,Credit Card,Grade A,364.21,271.82,140950.0,2025-03-09,2025-03-17
Pineapple,Visayas,Vacuum Pack,Distributor,Courier,Bank Transfer,Grade A,296.85,198.26,99555.62,2024-01-13,2024-01-24
Banana,Luzon,Jar,Online,Sea Cargo,Credit Card,Premium,388.49,240.48,86112.59,2025-09-19,2025-09-25
Jackfruit,Luzon,Resealable Bag,Retail,Courier,GCash,Premium,244.5,245.69,37710.31,2025-04-06,2025-04-09
Guava,Luzon,Resealable Bag,Online,Pickup,GCash,Premium,282.65,357.78,159213.26,2024-06-02,2024-06-10
Jackfruit,Mindanao,Vacuum Pack,Online,Air Freight,GCash,Grade A,146.96,203.92,169404.62,2024-11-03,2024-11-08
Coconut,Visayas,Box,Distributor,Courier,Bank Transfer,Grade B,58.93,160.01,174800.03,2024-04-08,2024-04-16
Jackfruit,Mindanao,Resealable Bag,Distributor,Courier,Bank Transfer,Premium,279.7,375.67,94916.72,2025-09-12,2025-09-16
Jackfruit,Visayas,Jar,Wholesale,Sea Cargo,Bank Transfer,Grade B,334.07,308.64,171291.15,2024-03-21,2024-03-28
Pineapple,Visayas,Resealable Bag,Distributor,Courier,Bank Transfer,Premium,170.36,332.73,61537.14,2024-03-14,2024-03-16
Guava,Visayas,Jar,Online,Sea Cargo,GCash,Grade A,106.27,197.43,57812.93,2025-03-31,2025-04-13
Mango,Luzon,Resealable Bag,Online,Air Freight,Cash,Grade A,471.56,276.15,20226.83,2025-12-18,2025-12-30
Guava,Luzon,Vacuum Pack,Distributor,Sea Cargo,Cash,Premium,469.22,248.65,53577.63,2025-02-10,2025-02-19
Coconut,Luzon,Resealable Bag,Wholesale,Air Freight,Cash,Premium,210.58,422.04,174205.82,2024-10-17,2024-10-25
Jackfruit,Visayas,Jar,Wholesale,Sea Cargo,Credit Card,Premium,387.01,409.51,92645.7,2025-04-23,2025-05-07
Jackfruit,Visayas,Box,Online,Sea Cargo,Cash,Grade B,188.54,256.03,39586.33,2025-10-17,2025-10-28
Jackfruit,Luzon,Box,Distributor,Pickup,Cash,Premium,464.94,432.5,100642.74,2024-01-11,2024-01-12
Papaya,Visayas,Resealable Bag,Retail,Courier,GCash,Grade B,446.97,264.25,57480.26,2024-01-10,2024-01-23
Guava,Visayas,Resealable Bag,Distributor,Air Freight,Credit Card,Premium,157.8,372.3,182891.34,2025-10-23,2025-10-30
Banana,Visayas,Box,Online,Sea Cargo,Cash,Grade A,111.48,156.42,96515.17,2025-12-11,2025-12-22
Coconut,Mindanao,Jar,Wholesale,Courier,Cash,Grade A,72.33,296.54,45328.14,2025-04-08,2025-04-13
Banana,Luzon,Jar,Retail,Sea Cargo,Cash,Grade A,56.63,191.67,89846.18,2024-04-14,2024-04-19
Papaya,Mindanao,Vacuum Pack,Distributor,Air Freight,GCash,Grade A,169.93,249.5,113206.47,2025-05-25,2025-05-31
